Designator,Mid X,Mid Y,Rotation,Layer
C1,109.0168,-78.994,90.0,top
C2,109.7534,-78.105,90.0,top
C3,110.998,-87.376,0.0,top
C4,106.299,-88.9,90.0,top
C5,107.0102,-80.137,0.0,top
C6,109.601,-92.964,0.0,top
C7,109.601,-94.996,0.0,top
C8,109.601,-97.028,0.0,top
C9,109.601,-99.06,0.0,top
D1,104.648,-98.044,270.0,top
IC1,113.792,-81.788,270.0,top
IC10,149.606,-95.758,180.0,bottom
IC11,149.606,-90.424,180.0,bottom
IC12,149.606,-85.09,180.0,bottom
IC13,149.606,-79.756,180.0,bottom
IC14,159.004,-90.424,0.0,bottom
IC15,159.004,-95.758,0.0,bottom
IC16,159.004,-79.756,0.0,bottom
IC17,159.004,-85.09,0.0,bottom
IC18,169.874,-95.758,180.0,bottom
IC19,169.851,-90.424,180.0,bottom
IC2,129.286,-95.758,180.0,bottom
IC20,169.926,-85.09,180.0,bottom
IC21,169.926,-79.756,180.0,bottom
IC22,179.324,-90.424,0.0,bottom
IC23,179.272,-95.758,0.0,bottom
IC24,179.272,-79.756,0.0,bottom
IC25,179.272,-85.09,0.0,bottom
IC26,190.246,-95.758,180.0,bottom
IC27,190.246,-90.424,180.0,bottom
IC28,190.246,-85.09,180.0,bottom
IC29,190.246,-79.756,180.0,bottom
IC3,129.286,-90.424,180.0,bottom
IC30,199.644,-90.424,0.0,bottom
IC31,199.644,-95.758,0.0,bottom
IC32,199.592,-79.756,0.0,bottom
IC33,199.644,-85.09,0.0,bottom
IC4,129.286,-85.09,180.0,bottom
IC5,129.286,-79.756,180.0,bottom
IC6,138.684,-90.424,0.0,bottom
IC7,138.684,-95.758,0.0,bottom
IC8,138.684,-79.756,0.0,bottom
IC9,138.684,-85.09,0.0,bottom
J1,118.498,-84.582,90.0,top
J10,150.632,-99.822,90.0,top
J11,179.458,-84.582,90.0,top
J12,199.778,-84.582,90.0,top
J13,138.818,-84.582,90.0,top
J14,159.138,-84.582,90.0,top
J2,113.548,-99.695,90.0,top
J3,169.792,-84.582,270.0,top
J4,190.112,-84.582,270.0,top
J5,129.138,-84.582,270.0,top
J6,149.472,-84.582,270.0,top
J7,170.952,-99.822,90.0,top
J8,191.018,-99.822,90.0,top
J9,130.312,-99.822,90.0,top
Q1,104.14,-89.408,270.0,top
Q2,118.364,-95.885,270.0,top
Q3,113.792,-88.0595,270.0,top
Q4,114.554,-95.758,0.0,top
Q5,114.554,-92.202,0.0,top
R1,108.2802,-78.994,270.0,top
R10,106.2228,-78.867,180.0,top
R11,111.8362,-96.1898,270.0,top
R12,117.7798,-93.3958,0.0,top
R13,117.5766,-92.4052,180.0,top
R14,107.569,-84.544,180.0,top
R15,110.109,-84.544,180.0,top
R16,125.984,-98.425,180.0,bottom
R17,125.984,-93.091,180.0,bottom
R18,125.984,-87.757,180.0,bottom
R19,125.984,-82.423,180.0,bottom
R2,105.41,-84.582,180.0,top
R20,141.986,-87.757,0.0,bottom
R21,141.986,-93.091,0.0,bottom
R22,141.986,-77.089,0.0,bottom
R23,141.986,-82.423,0.0,bottom
R24,146.304,-98.425,180.0,bottom
R25,146.304,-93.091,180.0,bottom
R26,146.304,-87.757,180.0,bottom
R27,146.304,-82.423,180.0,bottom
R28,162.179,-87.757,0.0,bottom
R29,162.306,-93.091,0.0,bottom
R3,105.41,-85.344,0.0,top
R30,162.179,-77.089,0.0,bottom
R31,162.179,-82.423,0.0,bottom
R32,166.6505,-98.425,180.0,bottom
R33,166.624,-93.091,180.0,bottom
R34,166.624,-87.757,180.0,bottom
R35,166.624,-82.423,180.0,bottom
R36,182.499,-87.757,0.0,bottom
R37,182.499,-93.091,0.0,bottom
R38,182.499,-77.089,0.0,bottom
R39,182.499,-82.423,0.0,bottom
R4,110.49,-78.994,90.0,top
R40,187.071,-98.425,180.0,bottom
R41,186.944,-93.091,180.0,bottom
R42,186.9705,-87.757,180.0,bottom
R43,186.944,-82.423,180.0,bottom
R44,202.819,-87.757,0.0,bottom
R45,202.819,-93.091,0.0,bottom
R46,202.819,-77.089,0.0,bottom
R47,202.819,-82.423,0.0,bottom
R5,110.998,-86.614,0.0,top
R6,106.299,-90.678,90.0,top
R7,105.2068,-80.137,0.0,top
R8,111.887,-93.5725,90.0,top
R9,116.078,-87.503,270.0,top
T1,104.648,-93.98,180.0,top
U1,107.696,-82.296,180.0,top
U2,112.395,-86.622,0.0,bottom
U3,133.985,-90.678,90.0,top
U4,154.305,-90.678,90.0,top
U5,174.625,-90.678,90.0,top
U6,194.945,-90.678,90.0,top
