Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13",0402,2,1nF,C1523
C10,0402,1,220pF,C1530
"C11, C12",1206,2,68nF,C338040
"C14, C15",0603,2,4.7uF,C19666
C16,0402,1,120pF,C695379
"C17, C18, C2, C3, C4, C8",1206,6,47uF,C76659
C5,0402,1,0.1uF,C1525
C6,0402,1,22nF,C1532
C7,0402,1,100pF,C1546
C9,0402,1,10nF,C15195
D1,RF081MM2STR,1,RF081MM2STR,C509966
D2,SOD2512X110N,1,NSVR1020MW2T1G,C893984
"IC1, IC10, IC11, IC12, IC13, IC14, IC15, IC16, IC17, IC18, IC19, IC2, IC20, IC21, IC22, IC23, IC24, IC3, IC4, IC5, IC6, IC7, IC8, IC9",SOP254P700X220-4N,24,"TLP188_TPL,E",C4153840
IC25,SOIC127P599X175-8N,1,LT1013DS8#TRPBF,C80103
J1,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Conn_01x02_Pin,C189893
"J10, J8, J9",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
"J11, J12, J13, J2, J3, J4, J5, J6, J7",Molex_200528-0070_1x07-1MP_P1.00mm_Horizontal,9,Conn_01x07_Pin,C6369987
"JP1, JP3",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,Jumper_2_Open,
JP2,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels,1,Jumper_3_Open,
L1,1008,1,4.7uH,C668313
L2,1008,1,1uH,C435392
Q1,SOT95P280X100-3N,1,RSR030N06TL,C126317
"Q2, Q4, Q5",SOT96P237X111-3N,3,MMBTA92LT1G,C82049
Q3,SOT-23,1,BSS139H6327,C151554
Q6,SOT95P284X110-6N,1,SI3590DV-T1-GE3,C727549
"R1, R2, R30, R45, R46, R50",0402,6,100k,C25741
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R4, R5, R6, R7, R8, R9",0402,24,330,C25104
R28,0402,1,130k(100kHz),C409851
R29,0402,1,240k,C413113
R3,0402,1,2k,C4109
R31,0402,1,6.8k,C409870
"R32, R34, R48",0402,3,22,C413049
R33,0603,1,0.02,C2088537
"R35, R43",0402,2,1M,C413126
R36,0402,1,16k,C409889
"R37, R38, R40",0402,3,10k,C509311
R39,0402,1,100,C25077
R41,0402,1,3.3k,C25890
R42,0603,1,1k,C193680
R44,0402,1,30k,C413010
R49,0402,1,453k,C27009
R51,0402,1,499k,C25793
T1,ATB3225150110T000,1,ATB322515-0110-T000,C415291
U1,SOT-23-5,1,MCP73812T-420I-OT,C144308
U2,XIAO-nRF52840-Sense-14P-2.54-21X17.8MM)_onlyPins,1,SeeeduinoXIAO_onlyPinHeader,
"U3, U4, U5",SOP65P640X110-16N,3,74AHCT595,C554707
U6,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LT3757AEMSE,C671465
U7,SOT-23-6,1,MCP4725xxx-xCH,C144198
U8,SOT-563,1,XPS62A01DRLR,C5157937
U9,SOT-23-5,1,TPS613222ADBV,C2071163
